earnings,enrollment,admission_rate,sat_avg,avg_cost,pell_pct,completion_rate,median_debt,CONTROL,REGION,log_earnings,log_enrollment,sat_scaled
50797,670,0.7311,1219,67684,0.2441,0.69,19500,Private Nonprofit,3,10.83559257670464,6.508769136971682,0.2401103076980151
55376,900,0.698,1145,54178,0.3644,0.603,18998,Private Nonprofit,3,10.921901565875125,6.803505257608338,-0.25883356785042566
51943,773,0.8407,950,48449,0.3583,0.65,13750,Private Nonprofit,3,10.857902242501392,6.651571873589727,-1.5736181047686142
45411,1464,0.8215,1119,41838,0.2906,0.6877,16750,Private Nonprofit,3,10.723509645430674,7.289610521451167,-0.43413817277285083
53957,1031,0.837,1201,58821,0.2583,0.6713,19500,Private Nonprofit,3,10.895942712037812,6.939253946041508,0.11874558121325923
46672,1082,0.7564,1052,42157,0.2737,0.636,18127,Private Nonprofit,3,10.750899692107502,6.9874902470009905,-0.885884654688331
45872,5484,0.8389,1100,22183,0.2477,0.3627,10556,Public,3,10.733610188123151,8.609772372709331,-0.5622453840623154
55198,13830,0.7637,1139,23316,0.373,0.5445,13337,Public,3,10.918681999724738,9.534667728624708,-0.29928847667867764
47605,5292,0.9581,1141,22383,0.229,0.4818,13236,Public,3,10.770693076719793,8.574140471857987,-0.28580350706926033
49917,2352,0.8648,1065,11837,0.334,0.4561,10000,Public,3,10.818116905083617,7.763446388727362,-0.7982323522271184
44947,3933,0.8384,1081,17364,0.4267,0.4009,12000,Public,3,10.71323929684936,8.277411998949004,-0.6903525953517798
63742,37806,0.7821,1313,28801,0.1676,0.8021,15519,Public,3,11.06259896495004,10.540249549648204,0.8739038793406291
43361,2661,0.7339,1055,13989,0.4255,0.3738,12478,Public,3,10.677315698578214,7.886832998955056,-0.865657200274205
47596,3170,0.8446,1072,16411,0.3229,0.3919,11650,Public,3,10.770504003075043,8.061802274538348,-0.7510349585941578
47156,2589,0.6722,1061,16954,0.3543,0.3958,12000,Public,3,10.761216533412018,7.859413154693583,-0.825202291445953
59986,1974,0.8894,1082,44776,0.2708,0.6671,14335,Private Nonprofit,3,11.001866480644448,7.5883236773352225,-0.6836101105470712
