earnings,enrollment,admission_rate,sat_avg,avg_cost,pell_pct,completion_rate,median_debt,CONTROL,REGION,log_earnings,log_enrollment
19799,132,NA,NA,NA,0.5627,NA,6359,3,8,9.8933867103567,4.890349128221754
39020,10207,NA,NA,24607,0.3789,NA,5261,1,8,10.571829614177101,9.23092700558457
46920,77,1,NA,55911,0.5109,0.8,24530,3,8,10.756199302767412,4.356708826689592
51378,15358,NA,NA,16774,0.1827,NA,6000,1,8,10.846965344254247,9.639456900415627
84713,1114,0.835,1290,71751,0.319,0.7805,24250,2,8,11.34702435174361,7.016609683894219
42006,27753,NA,NA,19193,0.2392,NA,6999,1,8,10.645567744205252,10.231135252930956
41589,19210,NA,NA,15246,0.2725,NA,4750,1,8,10.635590988206486,9.863238310628443
53077,7688,NA,NA,22105,0.2244,NA,9250,1,8,10.879498968386217,8.94754601503218
49840,535,NA,NA,54318,0.1898,0.6527,12000,3,8,10.816573153461334,6.284134161070802
38142,1828,NA,NA,20385,0.1644,0.3457,7000,1,8,10.549071316164463,7.511524648390866
29856,220,NA,NA,NA,0.4987,NA,5735,3,8,10.304141103647071,5.3981627015177525
57072,11137,NA,NA,16361,0.0871,0.5637,6795,1,8,10.952068907598672,9.318117964149614
21826,69,NA,NA,NA,0.5299,NA,NA,3,8,9.990857198673035,4.248495242049359
37361,21251,NA,NA,17198,0.307,0.2353,3500,1,8,10.528382658579849,9.964206287570834
58896,1544,0.6407,NA,44249,0.5835,0.5,19250,2,8,10.983528455618803,7.3427791893318455
43366,17121,NA,NA,14369,0.2655,NA,6500,1,8,10.677431002924163,9.74811946530243
47169,4786,NA,NA,15161,0.2352,NA,5841,1,8,10.761492176138386,8.473659189392508
42588,186,NA,NA,NA,0.124,NA,8233,2,8,10.659327802434497,5.231108616854587
41540,10509,NA,NA,17501,0.378,NA,7000,1,8,10.634412097430104,9.260082463870997
41472,896,NA,NA,NA,0.5097,0.626,9321,3,8,10.632773779711947,6.799055862058796
87434,259,NA,NA,NA,0.3565,NA,18774,2,8,11.37863950201482,5.560681631015528
43145,9034,NA,NA,14618,0.2344,NA,5500,1,8,10.672321814942407,9.10886120302633
40309,12163,NA,NA,14027,0.2448,NA,4500,1,8,10.60433004806348,9.406236048797256
21777,164,NA,NA,NA,0.6411,NA,10534,3,8,9.98860964595295,5.10594547390058
44316,9453,NA,NA,11892,0.3153,NA,4500,1,8,10.699101064640564,9.154193211353181
138687,921,0.1266,1545,90165,0.1517,0.9188,19500,2,8,11.839974874440871,6.826545223556594
25477,77,NA,NA,NA,0.5739,NA,NA,3,8,10.145531363350818,4.356708826689592
47626,5612,0.982,NA,25170,0.4287,0.4855,14500,1,8,10.771134109583889,8.6328406149422
39248,149,NA,NA,20918,0.5246,0.6154,25000,2,8,10.577655766498271,5.0106352940962555
34487,7652,NA,NA,11998,0.5075,NA,NA,1,8,10.448337720413921,8.942853006809921
38015,765,NA,NA,NA,0.4416,NA,7600,3,8,10.545736097662537,6.641182169740591
54974,97,NA,NA,NA,0.2804,NA,17667,3,8,10.914615625171118,4.584967478670572
49156,10286,NA,NA,13001,0.2012,NA,4500,1,8,10.802754193404487,9.23863624113103
30807,157,NA,NA,NA,0.6006,NA,6330,3,8,10.335497215866404,5.062595033026967
61954,60,NA,NA,NA,0.1026,0.4444,18667,2,8,11.034147453173013,4.110873864173311
38493,5504,NA,NA,16881,0.268,NA,3500,1,8,10.558231685563127,8.61341204915678
43299,456,0.958,NA,35062,0.5379,0.404,14000,2,8,10.675884819035673,6.124683390894205
65464,3050,0.7117,1083,62278,0.514,0.6312,21000,2,8,11.089255652207218,8.02322468471667
47867,746,0.9432,NA,57989,0.299,0.5172,18875,2,8,10.776181610692205,6.616065185132817
36657,3660,NA,NA,17666,0.1339,NA,5100,1,8,10.509359684984632,8.205491613120236
16220,150,NA,NA,NA,0.9827,NA,7250,3,8,9.694000327669404,5.017279836814924
37282,6842,NA,NA,25335,0.1604,NA,9301,1,8,10.52626591542919,8.830981510952498
35994,1741,NA,NA,20228,0.1559,NA,5500,1,8,10.491107536881149,7.462789157412448
53695,204,NA,NA,NA,0,1,12500,2,8,10.891075166292318,5.3230099791384085
39607,32,NA,NA,NA,0.3438,0.5,12034,2,8,10.586761149297775,3.4965075614664802
61824,1116,0.915,NA,51459,0.4725,0.5973,18500,2,8,11.03204691757219,7.018401799069201
